,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
181,Miss_Slovex,2022-07-11 15:27:12+00:00,RT @chrisstify: People from fanbases of one pattern musicians we dey use only word salads as lyrics sef wan dey badmouth #LOVEDAMINI dfkm😂😂…,between love & goodbye,False,Twitter for Android,2219,7,1546516465532243969
182,macdawid,2022-07-11 15:27:08+00:00,"RT @iamdrevo: Me after washing just ""2 plates and 1 spoon""😭 #LOVEDAMINI #BurnaBoy @burnaboy https://t.co/EPeSahb5wq",Canaan Land,False,Twitter for Android,10567,35,1546516445869359105
183,ArewaAdebukolaa,2022-07-11 15:27:05+00:00,RT @Samson2157: Common person by Burna boy is my favorite in #LOVEDAMINI,,False,Twitter for iPhone,2079,2,1546516433970122753
184,Wire__7,2022-07-11 15:27:04+00:00,RT @0ghenovo: Odogwu is disturbing the Emirates 🔥🔥🔥 #BURNABOY𓃵   #LOVEDAMINI https://t.co/3whvMZW7Fb,,False,Twitter for iPhone,325,70,1546516431893938176
185,ArewaAdebukolaa,2022-07-11 15:27:02+00:00,RT @ejaifehendricks: #LOVEDAMINI album is 2 Face idibia's Grass to Grace album of this Nigerian music Era..,,False,Twitter for iPhone,2079,1,1546516421915688963
186,ArewaAdebukolaa,2022-07-11 15:26:54+00:00,"RT @aexkinsley: Twitter people are trying soo hard diminish #LOVEDAMINI , all of a sudden Una don like that TAT that you'all said it was fu…",,False,Twitter for iPhone,2079,1,1546516390319951872
187,Outsideisbliss,2022-07-11 15:26:50+00:00,"RT @Courage1K: You should be proud of Nigerian music after listening to this album.

#Lovedamini","Kumasi, Ghana",False,Twitter for Android,2391,7,1546516370325733379
188,Outsideisbliss,2022-07-11 15:26:48+00:00,RT @NazskiLz: Yep  we definitely got a classic album  #LOVEDAMINI,"Kumasi, Ghana",False,Twitter for Android,2391,6,1546516361765076992
189,Djfreezylee01,2022-07-11 15:26:48+00:00,"RT @MannyNorte: Yep!!! #TheNorteShow tonight from 7pm GMT on @CapitalXTRA is a special one!! Second hour, I’ll be getting into the whole @b…",Land Of Nobody,False,Twitter for iPhone,1593,231,1546516361060524032
190,sauceboymachala,2022-07-11 15:26:47+00:00,"RT @Abimbola_cupid: Gbemi trabaye make you no dey shalaye 😭❤️❤️
Imagine if you attend @burnaboy concert and he allows the crowd to sing thi…",Canada,False,Twitter for iPhone,1076,3,1546516358338420736
191,Dayofrompluto1,2022-07-11 15:26:41+00:00,"RT @richie_bantii: Cant lie, never liked #LOVEDAMINI album cover, but after listening to that Album, had to revisit that cover again coZ it…",,False,Twitter for iPhone,132,17,1546516334304952322
192,iam_seanhaze,2022-07-11 15:26:40+00:00,"RT @Burnaboystats1: “For my hand” ft @edsheeran has peaked at number 1 on Apple Music in 8 different countries so far. 

#LoveDamini #Burna…","Chicago, IL",False,Twitter for iPhone,1408,117,1546516329817149440
193,ArewaAdebukolaa,2022-07-11 15:26:40+00:00,RT @TeeBleezy: #LOVEDAMINI has mad replay value….been bumping since Friday!,,False,Twitter for iPhone,2079,1,1546516329808658435
194,OdGmEtRo,2022-07-11 15:26:38+00:00,RT @ArewaAdebukolaa: Burna boy #Lovedamini  songs topping charts in more than 20 cities in the world with no TikTok palliative is not talke…,,False,Twitter for Android,184,8,1546516322594344963
