,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
417,iamsheuzy,2022-07-10 00:20:40+00:00,"RT @Desmond10707840: My favorite tracklist on #LOVEDAMINI ?
Swears I find it hard to rate one above another
#LOVEDAMINI",Nigeria,False,Twitter for Android,442,1,1545925938541694976
418,Pana_xl,2022-07-10 00:20:36+00:00,"RT @OfficialBlog_UR: Without saying “Last Last”, “Kilometre” or “Different Size” what is your favorite song off Burna Boy’s #LOVEDAMINI ? h…",Nigeria ,False,Twitter for Android,192,102,1545925923001643010
419,Clephoaos,2022-07-10 00:20:31+00:00,"RT @miffymonn: - Selling my Roblox Account for free! -
User: “SxftLunar” Winner gets p@ss‼️Acc has 1.2K 💲R
‼️RULES‼️
•follow
•like
•rt
•sha…",,False,Twitter Web App,0,35,1545925899538743296
420,Pana_xl,2022-07-10 00:20:28+00:00,"RT @chartsafrica: #LOVEDAMINI 

.@burnaboy &amp; @edsheeran ""For My Hand"" debuts #157 on the global Spotify chart with 975K streams…",Nigeria ,False,Twitter for Android,192,45,1545925890026065921
421,B3lteshazzar,2022-07-10 00:20:19+00:00,"Love Damini is a wonderful body of work ❤️💯
#LOVEDAMINI",Earth C-139,False,Twitter for Android,1195,3,1545925849647661057
422,NewELITE12,2022-07-10 00:20:17+00:00,RT @itskenechi: Burna Boy never disappoints! I love every bit of his new album. #LOVEDAMINI,Nigeria,False,Twitter for Android,31,117,1545925844299808769
423,strike_joel,2022-07-10 00:20:15+00:00,"RT @beejay_ydd: One album containing different moods, one album containing no skips, one album putting the problem of a place out for a sol…","Uganda, Africa",False,Twitter for iPhone,770,13,1545925834510417920
424,bahd_mohs,2022-07-10 00:20:13+00:00,RT @kvngvinci: My parents are so proud of me 😄 #LOVEDAMINI,outside,False,Twitter for Android,498,47,1545925825429733377
425,DarlyKwabena,2022-07-10 00:20:12+00:00,"RT @mahrex_owl: Ed Sheeran trying out Burna Boy’s heavy Jewelries 🧊📸

 “For my hand” is #15 on UK 🇬🇧 Apple Music chart 

#LOVEDAMINI https:…","Koforidua, Ghana",False,Twitter for iPhone,3249,227,1545925821445160961
426,ChrisKh57703957,2022-07-10 00:20:11+00:00,RT @ArewaAdebukolaa: That part burna said “say your body dey ginger me o normally say you get am naturally but I no complain” he sweet my b…,,False,Twitter for iPhone,1073,32,1545925819654197248
427,Pana_xl,2022-07-10 00:20:10+00:00,"RT @popmanclassic: If I go back to my Ex Blame it on #LOVEDAMINI For My Hand track. Burna and Ed Sheeran , this nostalgia 😣😍",Nigeria ,False,Twitter for Android,192,11,1545925814499151872
428,just_like_lumz,2022-07-10 00:20:07+00:00,RT @AlbumTalksHQ: .@burnaboy’s #LOVEDAMINI is now #1 in 45 countries. (Apple),,False,Twitter for Android,16,117,1545925799655653376
429,Tessa15449895,2022-07-10 00:20:06+00:00,"RT @HarjoRoseline: Omo this burna album na 10000/100🔥🔥🔥♥️♥️
#lovedamini 
@burnaboy https://t.co/yqmgUyal8B","Bayelsa, Nigeria",False,Twitter Web App,1,1108,1545925795050409985
430,bahd_mohs,2022-07-10 00:20:02+00:00,RT @olorunwababs: Now streaming #LOVEDAMINI . That's a very electric album by @burnaboy !,outside,False,Twitter for Android,498,24,1545925780940652546
431,ChrisKh57703957,2022-07-10 00:19:58+00:00,RT @burnaboyswt: Burna Boy “Vanilla” official video out now #LOVEDAMINI  https://t.co/5RIZOgF6X7,,False,Twitter for iPhone,1073,11,1545925765090492417
432,djboy4ever,2022-07-10 00:19:57+00:00,it’s plenty fr #LOVEDAMINI,"Michigan, USA",False,Twitter for iPhone,437,0,1545925760397066246
433,Pana_xl,2022-07-10 00:19:54+00:00,RT @itskenechi: Burna Boy never disappoints! I love every bit of his new album. #LOVEDAMINI,Nigeria ,False,Twitter for Android,192,117,1545925747298119680
434,strike_joel,2022-07-10 00:19:52+00:00,RT @ArewaAdebukolaa: No fela no diddy yet we breaking records. Them dey pray make we fall and stagger but We move in cloak in dagger 🦍 #LOV…,"Uganda, Africa",False,Twitter for iPhone,770,31,1545925738582446081
435,miscreant__,2022-07-10 00:19:51+00:00,RT @burnaboy: Made sure I Signed a few CDs for my outsiders in London and Birmingham that couldn’t make it! Go grab in store at HMV #LOVEDA…,Killhouse,False,Twitter for Android,22,639,1545925734337810432
436,AsiwajuOne,2022-07-10 00:19:51+00:00,"RT @Samson69061377: The Flood really drown this Lexus😢 

Davido | Phase 2 | Dave | Teni | Lagos | Rod Wave | Eid-ul-Adha | Reno Omokri | Ag…","ÜT: 5.680455,-0.17041",False,Twitter for Android,1083,12,1545925734258155522
437,Banty_90,2022-07-10 00:19:50+00:00,"RT @beejay_ydd: One album containing different moods, one album containing no skips, one album putting the problem of a place out for a sol…",,False,Twitter for iPhone,151,13,1545925730168709122
438,supremescourt,2022-07-10 00:19:49+00:00,the transitions on this album wow #LOVEDAMINI,♡,False,Twitter for iPhone,4054,0,1545925723646566400
439,Anslem____baby,2022-07-10 00:19:43+00:00,RT @kvngvinci: My parents are so proud of me 😄 #LOVEDAMINI,🌪,False,Twitter for iPhone,2470,47,1545925701223813123
440,NewELITE12,2022-07-10 00:19:42+00:00,"RT @cherryoma_: Heyy!!! So Burna boy released an album on Friday, (I think that's common knowledge by now) and a lot of people have been gi…",Nigeria,False,Twitter for Android,31,312,1545925696752697354
441,kyel_perkins,2022-07-10 00:19:41+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,"Orlando, FL",False,Twitter for Android,195,4822,1545925690113101825
442,supremescourt,2022-07-10 00:19:36+00:00,Glory is amazing. CHEFS KISS 🤌🏾✨#LOVEDAMINI,♡,False,Twitter for iPhone,4054,0,1545925669590388736
443,urboyGanjaa,2022-07-10 00:19:33+00:00,RT @WayneH__: #LOVEDAMINI gets better with each listen,,False,Twitter for Android,10,517,1545925658920062977
444,ace_imagery,2022-07-10 00:19:26+00:00,"RT @chukaobi: @burnaboy made the album of the year with #LOVEDAMINI  

I don’t know how 19 songs can keep going by so fast.

Zero skips, to…",,False,Twitter for Android,681,25,1545925628310044672
445,beejay_ydd,2022-07-10 00:19:24+00:00,@burnaboy you better drop deluxe later on with this song included if you don't want us to come and do part 2 of mon… https://t.co/hVCLENwUA0,,False,Twitter Web App,137,0,1545925622479847426
446,Anchorbutter1,2022-07-10 00:19:14+00:00,I’m confused 😐#LOVEDAMINI https://t.co/tR3Xq63V5a,,False,Twitter for iPhone,363,0,1545925580155150338
447,ChrisKh57703957,2022-07-10 00:19:14+00:00,"RT @shevydliege: Una go leave this app 
The Madness never even start.
#LOVEDAMINI https://t.co/nXrpipuBOq",,False,Twitter for iPhone,1073,24,1545925577684750341
448,gayassnegro,2022-07-10 00:19:11+00:00,"tweet for @burnaboy 💛
#LOVEDAMINI",SUB-SAHARAN AFRICA,False,Twitter Web App,491,0,1545925564028125185
449,Carolin67623872,2022-07-10 00:18:59+00:00,"RT @fiz_iiz: Good morning from 
Stockholm Sweden 
#NatureBeauty #NaturePhotography #Sweden #LOVEDAMINI #LoveTwitter https://t.co/4iJIJewcp4","San Antonio, TX",False,Twitter Web App,5,238,1545925516456169472
450,siwonetwork,2022-07-10 00:18:56+00:00,"RT @mhizhapi: Who is a better option for the VP to Peter Obi?

🔄 Retweet for Rabiu Kwankwaso

❤️ Like for Dr. Yusuf Datti Ahmed

Ban Reno O…",48 creek road Fegge Onitsha ,False,Twitter for Android,65,124,1545925504041189376
